시장형태,등록형태,시도,시군구,시장명,주소(지번),주소(도로명),"시장크기 (1=대형시장, 2=중대형시장, 3=중형시장, 4=소형시장)","시장면적(단위선택: 1=제곱미터, 2=평형)",시장면적(㎡),시장면적(평),"소유형태(1=법인시장, 2=개인시장, 3=공설시장, 4=공동시장)","외부형태(전통시장: 1=상가건물형, 2=노점형, 3=장옥형, 4=상가주택형)","개설주기(1=상설, 2=정기, 3=상설+정기)", 정기(장날1), 정기(장날2),상설+정기(장날1), 상설+정기(장날2),전체점포수,영업점포수(합),영업점포수(임차점포수),비영업 점포수(빈점포),비영업 점포수(기타점포), 노점수,2017년-점포소유상인,2017년-점포임차상인,2017년-종업원수,2017년-노점상인수,2017년-총시장상인," 상인회 운영여부(1=운영, 2=미운영)"," 상인회 조직형태(1=시군구청 등록 상인회, 2=상점가진흥조합, 3=사업조합 또는 협동조합, 4=사단법인, 5=임의단체)",상근직원 명수,상인회 회원 수,"보유현황 - 1고객지원센터(1=있음, 2=없음)","보유현황 - 2유아놀이방(어린이놀이터)(1=있음, 2=없음)","보유현황 - 4고객휴게실(1=있음, 2=없음)","보유현황 - 5수유센터(1=있음, 2=없음)","보유현황 - 6물품보관함(1=있음, 2=없음)","보유현황 - 7자전거보관함(1=있음, 2=없음)","보유현황 - 10쇼핑카트(1=있음, 2=없음)","문2) 보유현황 - 12고객동선통로(1=있음, 2=없음)","보유현황 - 16시장전용 고객주차장(1=있음, 2=없음)",보유갯수 - 16시장전용 고객주차장,"보유여부 - 2소화전(1=있음, 2=없음)",보유개수-2소화전,"보유여부 - 3공용소화기(1=있음, 2=없음)",보유개수 - 3공용소화기,"보유여부 - 5경보기(1=있음, 2=없음)",보유개수 - 5경보기,"화재/가스감지센서(1=있음, 2=없음)",보유개수 -화재/가스 감지센서,"보유여부 - 7자동 화재속보 설비(1=있음, 2=없음)",보유개수 - 7자동화재속보설비,"보유여부 - 1CCTV(1=있음, 2=없음)","보유여부 - 2공동수도시설(노점/장옥형)(1=있음, 2=없음)","보유여부 - 3공동화장실(1=있음, 2=없음)",보유개수 -3공동화장실,"보유여부 - 4아케이드(1=있음, 2=없음)","보유여부 - 5냉방시설(1=있음, 2=없음)","보유여부 - 6난방시설(1=있음, 2=없음)","보유여부 - 7가스시설(1=있음, 2=없음)","보유여부 - 8엘리베이터/에스컬레이터(건물형만)(1=있음, 2=없음)","보유여부 - 9장애인용 화장실(1=있음, 2=없음)","보유여부 - 10배수시설(1=있음, 2=없음)","보유여부 - 11실외 가로등(1=있음, 2=없음)","보유여부 - 12전기배선시설(1=있음, 2=없음)","보유여부 - 13건물실내조명 (LED조명 설치 여부)(1=LED조명, 2=형광등 및 백열등)","보유여부 - 13건물실내조명 (LED조명 설치 여부)(1=LED조명, 2=형광등 및 백열등)","보유여부 - 1이동/고정식,이벤트 광장(1=있음, 2=없음)","보유여부 - 2테마거리(1=있음, 2=없음)","보유여부 - 3TV광고판(1=있음, 2=없음)","보유여부 - 4LED광고판(1=있음, 2=없음)","보유여부 - 6아치/조형물(1=있음, 2=없음)","시장/상점가의 주력 상품 여부(1=있음, 2=없음)","시장/상점가의 주력 상품의 개수(1=1개, 2=2개, 3=3개, 4=4개 이상)",시장/상점가의 주력 상품의 상품명
전통시장,인정,강원,동해시,동해남부재래시장,강원도 동해시 동회동 442,강원도 동해시 청운1길 29,3,1,"2,640",,4,1,1,,,,,171,171,45,0,0,0,126,45,22,0,193,1,1,7,171,1,2,1,2,1,1,2,2,1,1,1,5,1,50,1,3,1,3,1,10,1,,1,1,2,1,1,1,1,1,1,1,1,1,2,1,2,2,1,1,2,,
전통시장,인정,강원,동해시,묵호시장,강원도 동해시묵호동 15-61,강원도 동해시 일출로 59-1,4,1,"2,063",,4,1,1,,,,,107,83,76,24,0,10,7,76,11,10,104,1,2,,83,2,2,1,1,2,2,2,2,1,2,1,2,1,10,1,90,1,18,2,,2,,1,1,1,1,1,1,2,1,2,2,2,1,2,2,2,2,2,1,2,,
전통시장,인정,강원,동해시,북평민속시장,강원도 동해시 북평동 15-5,강원도 동해시 오일장길 32,3,1,"76,658",,4,2,3,,,3,8,146,141,128,5,0,455,13,128,34,455,630,1,1,1,90,1,2,1,2,2,2,2,1,1,3,1,2,1,1,2,,2,,2,,1,1,1,1,2,,,2,,1,1,1,1,,2,1,1,2,1,1,1,3,국밥 수제품 주막
전통시장,인정,강원,삼척시,도계전두시장,강원도 삼척시 도계읍 전두리 81-20,강원도 삼척시 도계읍 전두시장길 6-1,4,1,"4,986",,1,1,1,,,,,46,33,7,7,6,0,26,7,12,0,45,1,1,3,33,2,2,2,2,2,2,2,2,1,1,1,3,1,35,1,7,1,7,1,2,1,,1,1,1,2,2,1,2,1,1,1,1,,2,1,2,2,2,1,2,,
전통시장,인정,강원,삼척시,도계중앙시장,강원도 삼척시 도계읍 도계리 390-1,강원도 삼척시 도계읍 도계로4길 20,4,1,918,,1,1,1,,,,,30,16,16,14,0,0,0,16,4,0,20,1,3,,16,1,2,2,2,2,2,2,1,1,1,1,5,1,7,1,2,1,1,2,,2,,1,133,1,1,1,1,2,2,1,1,1,,2,1,2,2,1,1,2,,
전통시장,인정,강원,삼척시,삼척번개시장,강원도 삼척시 사직동 50-11,강원도 삼척시 중앙로 14-27,4,2,"3,300",1000,4,2,1,,,,,10,10,5,0,0,23,5,5,26,23,59,1,1,,10,2,2,2,2,2,2,2,2,1,2,2,,1,3,1,3,2,,2,,2,1,1,2,1,,,1,,1,1,1,1,,2,2,2,2,1,2,1,1,활어회
전통시장,등록,강원,삼척시,삼척중앙시장,강원도 삼척시 남양동 55-4,강원도 삼척시진주로 12-21,3,1,"11,637",,1,1,3,,,2,7,344,207,119,137,0,79,88,119,33,79,319,1,1,10,207,1,2,1,2,2,2,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,,1,10,1,1,1,1,1,1,1,1,1,1,2,1,1,2,1,1,1,2,문어숙회 돌각미역
전통시장,등록,강원,속초시,속초종합중앙시장,강원도 속초시 중앙동 471-4,강원도 속초시 중앙로147번길 16 ,3,1,"6,774",,4,1,1,,,,,261,247,156,14,0,56,91,156,237,56,540,1,1,13,247,1,1,1,1,1,1,1,1,1,2,1,4,1,2,1,105,1,25,1,5,1,,1,4,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,닭강정  튀김  회  건어물
전통시장,인정,강원,속초시,속초중앙전통시장,강원도 속초시 중앙동 493-3,강원도 속초시  중앙시장로6길 2 외 127필지,3,2,"9,900",3000,4,1,1,,,,,322,322,215,0,0,74,107,215,197,74,593,1,1,1,322,1,2,1,2,2,2,1,1,1,2,1,4,1,50,1,10,1,10,1,5,1,,1,433,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,2,수산물 회 건어물등
전통시장,등록,강원,양구군,양구중앙시장,강원도 양구군 상리 235,강원도 양구군 중앙길 68,4,1,"5,037",,1,4,3,,,5,10,58,58,28,0,0,80,30,28,99,80,237,1,1,1,58,1,1,1,2,2,1,1,2,1,2,1,4,1,12,1,55,1,55,2,,1,,1,1,1,,,1,,1,1,1,1,1,,1,2,2,1,1,1,2,곰취 시레기
